Surface,Facet,Miller Indices,Database Source
Ag,fcc,111,Catalysis-hub
Au,fcc,111,Catalysis-hub
Cd,fcc,111,Catalysis-hub
Co,fcc,111,Catalysis-hub
Cr,fcc,111,Catalysis-hub
Cu,fcc,111,Catalysis-hub
Fe,fcc,111,Catalysis-hub
Hf,fcc,111,Catalysis-hub
Ir,fcc,111,Catalysis-hub
La,fcc,111,Catalysis-hub
Mo,fcc,111,Catalysis-hub
Nb,fcc,111,Catalysis-hub
Os,fcc,111,Catalysis-hub
Pd,fcc,111,Catalysis-hub
Pt,fcc,111,Catalysis-hub
Re,fcc,111,Catalysis-hub
Rh,fcc,111,Catalysis-hub
Ru,fcc,111,Catalysis-hub
Sc,fcc,111,Catalysis-hub
Ta,fcc,111,Catalysis-hub
Tc,fcc,111,Catalysis-hub
Ti,fcc,111,Catalysis-hub
V,fcc,111,Catalysis-hub
W,fcc,111,Catalysis-hub
Y,fcc,111,Catalysis-hub
Zn,fcc,111,Catalysis-hub
Zr,fcc,111,Catalysis-hub
Ag6Au6,fcc,111,Catalysis-hub
Ag6Cd6,fcc,111,Catalysis-hub
Ag6Co6,fcc,111,Catalysis-hub
Ag6Cr6,fcc,111,Catalysis-hub
Ag6Cu6,fcc,111,Catalysis-hub
Ag6Fe6,fcc,111,Catalysis-hub
Ag6Hf6,fcc,111,Catalysis-hub
Ag6Hg6,fcc,111,Catalysis-hub
Ag6Ir6,fcc,111,Catalysis-hub
Ag6La6,fcc,111,Catalysis-hub
Ag6Mn6,fcc,111,Catalysis-hub
Ag6Mo6,fcc,111,Catalysis-hub
Ag6Nb6,fcc,111,Catalysis-hub
Ag6Ni6,fcc,111,Catalysis-hub
Ag6Os6,fcc,111,Catalysis-hub
Ag6Pd6,fcc,111,Catalysis-hub
Ag6Pt6,fcc,111,Catalysis-hub
Ag6Re6,fcc,111,Catalysis-hub
Ag6Rh6,fcc,111,Catalysis-hub
Ag6Ru6,fcc,111,Catalysis-hub
Ag6Sc6,fcc,111,Catalysis-hub
Ag6Ta6,fcc,111,Catalysis-hub
Ag6Tc6,fcc,111,Catalysis-hub
Ag6Ti6,fcc,111,Catalysis-hub
Ag6V6,fcc,111,Catalysis-hub
Ag6W6,fcc,111,Catalysis-hub
Ag6Y6,fcc,111,Catalysis-hub
Ag6Zn6,fcc,111,Catalysis-hub
Ag6Zr6,fcc,111,Catalysis-hub
Au6Cd6,fcc,111,Catalysis-hub
Au6Co6,fcc,111,Catalysis-hub
Au6Cr6,fcc,111,Catalysis-hub
Au6Cu6,fcc,111,Catalysis-hub
Au6Fe6,fcc,111,Catalysis-hub
Au6Hf6,fcc,111,Catalysis-hub
Au6Ir6,fcc,111,Catalysis-hub
Au6La6,fcc,111,Catalysis-hub
Au6Mn6,fcc,111,Catalysis-hub
Au6Mo6,fcc,111,Catalysis-hub
Au6Nb6,fcc,111,Catalysis-hub
Au6Ni6,fcc,111,Catalysis-hub
Au6Pd6,fcc,111,Catalysis-hub
Au6Pt6,fcc,111,Catalysis-hub
Au6Re6,fcc,111,Catalysis-hub
Au6Rh6,fcc,111,Catalysis-hub
Au6Ru6,fcc,111,Catalysis-hub
Au6Sc6,fcc,111,Catalysis-hub
Au6Ta6,fcc,111,Catalysis-hub
Au6Tc6,fcc,111,Catalysis-hub
Au6Ti6,fcc,111,Catalysis-hub
Au6V6,fcc,111,Catalysis-hub
Au6W6,fcc,111,Catalysis-hub
Au6Y6,fcc,111,Catalysis-hub
Au6Zn6,fcc,111,Catalysis-hub
Au6Zr6,fcc,111,Catalysis-hub
Cd6Co6,fcc,111,Catalysis-hub
Cd6Cu6,fcc,111,Catalysis-hub
Cd6Fe6,fcc,111,Catalysis-hub
Cd6Hf6,fcc,111,Catalysis-hub
Cd6Hg6,fcc,111,Catalysis-hub
Cd6Ir6,fcc,111,Catalysis-hub
Cd6La6,fcc,111,Catalysis-hub
Cd6Mn6,fcc,111,Catalysis-hub
Cd6Mo6,fcc,111,Catalysis-hub
Cd6Nb6,fcc,111,Catalysis-hub
Cd6Ni6,fcc,111,Catalysis-hub
Cd6Os6,fcc,111,Catalysis-hub
Cd6Pd6,fcc,111,Catalysis-hub
Cd6Pt6,fcc,111,Catalysis-hub
Cd6Re6,fcc,111,Catalysis-hub
Cd6Rh6,fcc,111,Catalysis-hub
Cd6Ru6,fcc,111,Catalysis-hub
Cd6Sc6,fcc,111,Catalysis-hub
Cd6Ta6,fcc,111,Catalysis-hub
Cd6Tc6,fcc,111,Catalysis-hub
Cd6Ti6,fcc,111,Catalysis-hub
Cd6V6,fcc,111,Catalysis-hub
Cd6W6,fcc,111,Catalysis-hub
Cd6Y6,fcc,111,Catalysis-hub
Cd6Zn6,fcc,111,Catalysis-hub
Cd6Zr6,fcc,111,Catalysis-hub
Co6Cu6,fcc,111,Catalysis-hub
Co6Fe6,fcc,111,Catalysis-hub
Co6Hf6,fcc,111,Catalysis-hub
Co6Hg6,fcc,111,Catalysis-hub
Co6Ir6,fcc,111,Catalysis-hub
Co6La6,fcc,111,Catalysis-hub
Co6Ni6,fcc,111,Catalysis-hub
Co6Os6,fcc,111,Catalysis-hub
Co6Pd6,fcc,111,Catalysis-hub
Co6Pt6,fcc,111,Catalysis-hub
Co6Re6,fcc,111,Catalysis-hub
Co6Rh6,fcc,111,Catalysis-hub
Co6Ru6,fcc,111,Catalysis-hub
Co6Sc6,fcc,111,Catalysis-hub
Co6Ti6,fcc,111,Catalysis-hub
Co6V6,fcc,111,Catalysis-hub
Co6W6,fcc,111,Catalysis-hub
Co6Y6,fcc,111,Catalysis-hub
Co6Zn6,fcc,111,Catalysis-hub
Co6Zr6,fcc,111,Catalysis-hub
Cr6Cu6,fcc,111,Catalysis-hub
Cr6Fe6,fcc,111,Catalysis-hub
Cr6Hf6,fcc,111,Catalysis-hub
Cr6Ir6,fcc,111,Catalysis-hub
Cr6La6,fcc,111,Catalysis-hub
Cr6Mn6,fcc,111,Catalysis-hub
